Aircraft_Type,Wind_Direction,Arrival_Hour,Runway_Assigned
A320,130,8.6,27L
B747,160,8.9,18L
B737,290,17.8,09R
B747,230,7.0,18L
B747,270,7.9,18L
B737,300,18.0,09R
A380,110,7.6,27L
A380,290,11.9,27L
A320,80,7.0,27L
A320,240,16.6,27L
A320,160,9.9,27L
A320,310,17.4,27L
A380,170,13.3,27L
A320,100,11.7,27L
B747,110,15.6,18L
B747,150,11.6,18L
A380,260,8.3,27L
A380,170,16.5,27L
B737,80,14.7,09R
A320,130,13.2,27L
A380,80,16.7,27L
A380,230,16.8,27L
B737,90,16.3,09R
A380,170,7.3,27L
B747,190,16.4,18L
A380,300,17.3,27L
B747,190,14.2,18L
B747,170,7.9,18L
B747,230,14.4,18L
A380,150,10.9,27L
B747,120,9.4,18L
B747,170,15.1,18L
B747,280,12.2,18L
B747,210,11.6,18L
B737,170,7.5,09R
A320,170,15.2,27L
B747,220,10.4,18L
B747,80,11.7,18L
A320,180,16.2,27L
B747,150,16.2,18L
B747,220,14.2,18L
B747,120,12.4,18L
B737,310,7.3,09R
A380,130,14.8,27L
B747,160,12.9,18L
B737,110,16.2,09R
B737,310,15.0,09R
A320,130,16.9,27L
A380,180,15.6,27L
A320,250,15.2,27L
A320,220,8.4,27L
B747,190,11.1,18L
A380,270,8.7,27L
B747,90,17.8,18L
A380,210,16.8,27L
A380,160,18.4,27L
A320,210,9.1,27L
A380,270,8.8,27L
A380,310,8.8,27L
B747,220,9.6,18L
B737,250,13.3,09R
B747,250,14.6,18L
A320,240,10.3,27L
A380,220,11.9,27L
A320,290,15.1,27L
B737,210,7.3,09R
B737,240,15.0,09R
B737,120,13.2,09R
B747,240,15.9,18L
A380,230,7.7,27L
B737,130,15.1,09R
A320,250,14.3,27L
B747,290,15.6,18L
B747,270,14.4,18L
B737,240,14.7,09R
B737,240,16.9,09R
A320,280,9.8,27L
A320,80,8.1,27L
A320,200,7.2,27L
A320,90,18.4,27L
B737,90,18.0,09R
B737,310,8.3,09R
A320,220,14.1,27L
A380,280,15.1,27L
B747,180,15.2,18L
B747,260,10.7,18L
B747,240,11.3,18L
A380,80,14.3,27L
A380,290,16.2,27L
A380,120,7.4,27L
A320,220,17.4,27L
B747,170,11.3,18L
A380,130,8.1,27L
B747,90,11.5,18L
A380,270,7.5,27L
B737,300,9.1,09R
A380,170,7.4,27L
A320,160,9.5,27L
A320,310,9.5,27L
B737,290,10.1,09R
A320,110,7.6,27L
A320,110,15.1,27L
A320,100,8.1,27L
A380,90,9.1,27L
A380,270,17.1,27L
B747,160,9.2,18L
B747,260,11.2,18L
B747,310,12.0,18L
B737,280,7.9,09R
B747,130,16.3,18L
A320,300,8.4,27L
B747,150,13.2,18L
B747,80,17.1,18L
B737,200,18.2,09R
B737,90,16.6,09R
B737,80,10.8,09R
B737,200,12.6,09R
A320,190,18.1,27L
B747,250,13.3,18L
